state_code,state,county_code,county,site_number,parameter,sample_measurement,units_of_measure,latitude,longitude,date_local,time_local,date_gmt,time_gmt,method_type,method_code,method,date_of_last_change,cbsa_code
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-29,00:00,2019-06-29,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-26,00:00,2019-06-26,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-30,00:00,2019-04-30,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-27,00:00,2019-04-27,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-24,00:00,2019-04-24,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-09,00:00,2019-04-09,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-27,00:00,2019-01-27,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-24,00:00,2019-01-24,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-21,00:00,2019-01-21,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-18,00:00,2019-01-18,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-15,00:00,2019-01-15,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-12,00:00,2019-01-12,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-09,00:00,2019-01-09,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-06,00:00,2019-01-06,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-03,00:00,2019-01-03,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,4.4,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-11,00:00,2019-06-11,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,5.1,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-28,00:00,2019-03-28,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.7,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-16,00:00,2019-03-16,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-02-11,00:00,2019-02-11,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.9,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-02-26,00:00,2019-02-26,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,7.5,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-05,00:00,2019-06-05,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.6,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-09,00:00,2019-05-09,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-22,00:00,2019-03-22,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.1,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-02-08,00:00,2019-02-08,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.8,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-30,00:00,2019-05-30,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-02-23,00:00,2019-02-23,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.9,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-18,00:00,2019-05-18,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.8,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-15,00:00,2019-04-15,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.1,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-02-17,00:00,2019-02-17,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.8,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-02-02,00:00,2019-02-02,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,0.9,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-02-05,00:00,2019-02-05,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.6,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-02-14,00:00,2019-02-14,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.1,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-02-20,00:00,2019-02-20,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.5,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-15,00:00,2019-05-15,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.3,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-03,00:00,2019-05-03,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.8,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-27,00:00,2019-05-27,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.1,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-24,00:00,2019-05-24,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.6,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-06,00:00,2019-05-06,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.6,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-12,00:00,2019-05-12,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.6,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-21,00:00,2019-05-21,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,19.4,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-23,00:00,2019-06-23,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,5.9,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-02,00:00,2019-06-02,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.1,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-08,00:00,2019-06-08,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,22.7,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-14,00:00,2019-06-14,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,8.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-17,00:00,2019-06-17,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,7.5,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-20,00:00,2019-06-20,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.9,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-10,00:00,2019-03-10,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.3,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-01,00:00,2019-03-01,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.5,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-04,00:00,2019-03-04,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.8,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-07,00:00,2019-03-07,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-13,00:00,2019-03-13,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-19,00:00,2019-03-19,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,4.1,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-25,00:00,2019-03-25,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.8,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-31,00:00,2019-03-31,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.3,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-21,00:00,2019-04-21,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.8,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-06,00:00,2019-04-06,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-03,00:00,2019-04-03,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.6,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-12,00:00,2019-04-12,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.3,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-18,00:00,2019-04-18,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.9,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-30,00:00,2019-01-30,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
